epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.828,1.01376,2.63659,1.46578,0.43269,0.4696,0.43158,0.26525,1.17582,1.70632,1.71097,0.00333169,0.00333169,0.00333169
2,599.03,0.96633,1.76173,1.38617,0.50694,0.53151,0.55131,0.38394,1.11019,1.38267,1.6235,0.00664695,0.00664695,0.00664695
3,889.459,0.99339,1.58368,1.40274,0.50058,0.58367,0.56374,0.38406,1.17396,1.37299,1.67187,0.0098902,0.0098902,0.0098902
4,1178.88,0.9856,1.4935,1.39515,0.60482,0.61752,0.64946,0.45031,1.0766,1.1352,1.57703,0.00975773,0.00975773,0.00975773
5,1467.59,0.93044,1.37117,1.35855,0.63595,0.66046,0.713,0.5198,1.01605,1.03205,1.50043,0.00957205,0.00957205,0.00957205
6,1757.49,0.89917,1.2996,1.33666,0.67293,0.68775,0.74089,0.54907,1.00316,0.98396,1.49367,0.00933683,0.00933683,0.00933683
7,2047.13,0.87678,1.25327,1.32046,0.66741,0.70213,0.75578,0.564,0.96487,0.95332,1.43997,0.00905463,0.00905463,0.00905463
8,2336.56,0.86313,1.21303,1.31023,0.71845,0.70761,0.77671,0.58176,0.95247,0.90283,1.42823,0.00872857,0.00872857,0.00872857
9,2626.12,0.85168,1.18703,1.30234,0.72858,0.70235,0.78391,0.59386,0.93607,0.87655,1.40567,0.0083622,0.0083622,0.0083622
10,2915.72,0.83869,1.15917,1.29328,0.72902,0.73007,0.80173,0.60606,0.93601,0.85507,1.40873,0.00795954,0.00795954,0.00795954
11,3205.08,0.82851,1.13515,1.28723,0.70946,0.75584,0.80901,0.61808,0.92312,0.83828,1.39531,0.007525,0.007525,0.007525
12,3494.26,0.82047,1.11926,1.28106,0.73989,0.73039,0.8152,0.62647,0.91318,0.82606,1.3872,0.00706335,0.00706335,0.00706335
13,3783.88,0.81079,1.09615,1.27485,0.73774,0.74549,0.81745,0.63088,0.90705,0.81688,1.37988,0.00657963,0.00657963,0.00657963
14,4073.1,0.80288,1.07807,1.26846,0.7463,0.75723,0.8227,0.63601,0.90459,0.80506,1.37621,0.00607916,0.00607916,0.00607916
15,4362.91,0.79485,1.05967,1.26479,0.75403,0.7471,0.82413,0.63755,0.90348,0.79674,1.37468,0.00556742,0.00556742,0.00556742
16,4652.3,0.79119,1.04579,1.26127,0.7633,0.75329,0.82756,0.64072,0.90057,0.79231,1.37106,0.00505,0.00505,0.00505
17,4941.81,0.77991,1.02468,1.25298,0.77009,0.74117,0.82898,0.64195,0.89699,0.78869,1.36682,0.00453258,0.00453258,0.00453258
18,5230.79,0.77201,1.00601,1.24962,0.78721,0.73269,0.83051,0.64315,0.89435,0.78416,1.36368,0.00402084,0.00402084,0.00402084
19,5520.08,0.76385,0.99348,1.2433,0.77938,0.73679,0.83143,0.64367,0.89209,0.77969,1.36005,0.00352037,0.00352037,0.00352037
20,5809.05,0.75888,0.97649,1.23868,0.7856,0.73826,0.83356,0.64498,0.88957,0.77444,1.35676,0.00303665,0.00303665,0.00303665
21,6121.08,0.76963,0.74567,1.36388,0.79367,0.73626,0.83586,0.64816,0.88522,0.76848,1.35243,0.002575,0.002575,0.002575
22,6413.38,0.75179,0.71337,1.34746,0.79623,0.7383,0.83808,0.65091,0.88078,0.76277,1.34775,0.00214046,0.00214046,0.00214046
23,6700.18,0.73979,0.68683,1.33717,0.79562,0.73991,0.84016,0.65176,0.87709,0.7562,1.34324,0.0017378,0.0017378,0.0017378
24,6984.81,0.72897,0.66264,1.32592,0.76875,0.7697,0.84243,0.65538,0.8734,0.75008,1.33953,0.00137143,0.00137143,0.00137143
25,7269.76,0.72182,0.64363,1.31849,0.78009,0.76519,0.84528,0.65693,0.86957,0.74322,1.33581,0.00104537,0.00104537,0.00104537
26,7553.93,0.71267,0.62752,1.31138,0.77961,0.77167,0.84699,0.65947,0.86527,0.73705,1.33126,0.000763174,0.000763174,0.000763174
27,7838.27,0.70743,0.61295,1.30824,0.7906,0.76832,0.84926,0.66117,0.86174,0.73099,1.32709,0.00052795,0.00052795,0.00052795
28,8122.34,0.70025,0.60253,1.29863,0.79504,0.76691,0.85134,0.66431,0.85863,0.72487,1.32371,0.00034227,0.00034227,0.00034227
29,8405.56,0.6959,0.59513,1.29711,0.79099,0.77105,0.85344,0.66608,0.85522,0.71953,1.32027,0.000208169,0.000208169,0.000208169
30,8689.42,0.69225,0.59069,1.29236,0.78294,0.78706,0.85541,0.66778,0.85162,0.71586,1.31679,0.000127117,0.000127117,0.000127117
