epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,453.534,1.18772,2.34255,1.62345,0.43899,0.52008,0.49557,0.33029,1.15111,1.42353,1.64799,0.00199901,0.00199901,0.00199901
2,901.964,0.99438,1.5929,1.44024,0.55489,0.61596,0.63005,0.43519,1.09413,1.17868,1.62792,0.00398817,0.00398817,0.00398817
3,1342.43,0.98684,1.50847,1.43162,0.64314,0.61823,0.68696,0.49749,1.02881,1.05689,1.53406,0.00593412,0.00593412,0.00593412
4,1776.35,0.98701,1.48117,1.42728,0.63513,0.66147,0.71343,0.52593,0.99473,1.0034,1.50923,0.00780522,0.00780522,0.00780522
5,2209.14,1.01919,1.53347,1.452,0.66151,0.66527,0.71818,0.52237,1.01507,1.02093,1.52191,0.00957111,0.00957111,0.00957111
6,2641.44,1.01597,1.51854,1.44743,0.68393,0.69283,0.74092,0.54899,0.97237,0.96564,1.47565,0.00933683,0.00933683,0.00933683
7,3074.82,0.97104,1.42634,1.41161,0.70484,0.71472,0.76951,0.58274,0.95433,0.90515,1.45221,0.00905463,0.00905463,0.00905463
8,3506.84,0.94891,1.37482,1.39616,0.71408,0.70781,0.7815,0.59404,0.94564,0.87424,1.43886,0.00872857,0.00872857,0.00872857
9,3940.14,0.92696,1.32817,1.37921,0.73962,0.71299,0.79869,0.61166,0.92908,0.84288,1.42157,0.0083622,0.0083622,0.0083622
10,4373.44,0.91412,1.30086,1.36719,0.7383,0.75096,0.81159,0.62392,0.92161,0.81746,1.41811,0.00795954,0.00795954,0.00795954
11,4806.24,0.89618,1.27002,1.35634,0.75363,0.7577,0.81771,0.63225,0.90869,0.80887,1.39963,0.007525,0.007525,0.007525
12,5239.83,0.88845,1.24905,1.35011,0.77231,0.74926,0.82648,0.63994,0.90335,0.79573,1.39401,0.00706335,0.00706335,0.00706335
13,5673.04,0.87544,1.22184,1.34061,0.77652,0.74779,0.83142,0.64564,0.89364,0.78562,1.38557,0.00657963,0.00657963,0.00657963
14,6106.65,0.86543,1.19612,1.33121,0.7768,0.74673,0.83298,0.64612,0.88963,0.77974,1.37936,0.00607916,0.00607916,0.00607916
15,6540.73,0.85569,1.17808,1.325,0.76884,0.75817,0.83573,0.65006,0.88785,0.77428,1.37668,0.00556742,0.00556742,0.00556742
16,6974.7,0.84727,1.15517,1.31922,0.77941,0.76096,0.83843,0.65292,0.88667,0.76867,1.37536,0.00505,0.00505,0.00505
17,7408.35,0.83704,1.13791,1.31114,0.78196,0.76657,0.84052,0.65413,0.88423,0.76277,1.37278,0.00453258,0.00453258,0.00453258
18,7851.35,0.82605,1.11066,1.30259,0.78874,0.76441,0.84132,0.65579,0.88295,0.75963,1.37181,0.00402084,0.00402084,0.00402084
19,8298.2,0.81234,1.09337,1.29275,0.79371,0.76606,0.84425,0.65793,0.88076,0.75439,1.36834,0.00352037,0.00352037,0.00352037
20,8747.36,0.80443,1.07296,1.28917,0.78858,0.7699,0.84586,0.65906,0.87943,0.74899,1.36677,0.00303665,0.00303665,0.00303665
21,9213.39,0.76332,0.73311,1.36962,0.77793,0.78042,0.84875,0.66252,0.87483,0.74335,1.36149,0.002575,0.002575,0.002575
22,9654.25,0.74131,0.69443,1.34787,0.7695,0.79,0.85116,0.66594,0.871,0.73639,1.35717,0.00214046,0.00214046,0.00214046
23,10096,0.72675,0.66,1.33411,0.76717,0.79369,0.85362,0.66931,0.86619,0.7308,1.35157,0.0017378,0.0017378,0.0017378
24,10537,0.71004,0.6285,1.31707,0.77244,0.79526,0.85616,0.67312,0.86151,0.72285,1.34613,0.00137143,0.00137143,0.00137143
25,10977.1,0.69868,0.59998,1.30662,0.78071,0.79106,0.85843,0.67584,0.85787,0.71596,1.34266,0.00104537,0.00104537,0.00104537
26,11417.5,0.68712,0.57211,1.29583,0.78791,0.79066,0.86125,0.67853,0.85454,0.70874,1.33859,0.000763174,0.000763174,0.000763174
27,11856.9,0.67686,0.55311,1.28918,0.78645,0.79693,0.86328,0.67974,0.85173,0.70142,1.33533,0.00052795,0.00052795,0.00052795
28,12296.9,0.66688,0.52998,1.27771,0.79074,0.79613,0.8656,0.68262,0.84884,0.69446,1.33212,0.00034227,0.00034227,0.00034227
29,12738.2,0.65989,0.51591,1.27301,0.78928,0.802,0.86774,0.68405,0.84585,0.68779,1.32934,0.000208169,0.000208169,0.000208169
30,13171.4,0.65448,0.50946,1.26717,0.79372,0.79829,0.86977,0.68639,0.84295,0.6805,1.32604,0.000127117,0.000127117,0.000127117
