epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,277.247,1.14741,1.67887,1.56259,0.73859,0.66733,0.76989,0.56744,0.97047,0.91858,1.45155,0.00199901,0.00199901,0.00199901
2,553.146,1.01903,1.54023,1.45793,0.6607,0.72201,0.76902,0.57068,0.97399,0.91532,1.45661,0.00398817,0.00398817,0.00398817
3,828.084,0.98936,1.48565,1.43112,0.68197,0.73023,0.77411,0.57573,0.96217,0.91006,1.44473,0.00593412,0.00593412,0.00593412
4,1102.13,0.98222,1.47321,1.42268,0.66736,0.71615,0.77154,0.57833,0.96034,0.90868,1.44843,0.00780522,0.00780522,0.00780522
5,1378.74,1.00885,1.5103,1.43928,0.70446,0.70006,0.76603,0.57242,0.97003,0.93115,1.45501,0.00957111,0.00957111,0.00957111
6,1652.69,1.02348,1.54226,1.45202,0.68369,0.71077,0.7645,0.56945,0.98452,0.92818,1.4733,0.00933683,0.00933683,0.00933683
7,1926.88,1.01295,1.52497,1.44317,0.7173,0.69064,0.76792,0.57671,0.95732,0.90823,1.447,0.00905463,0.00905463,0.00905463
8,2201.85,0.99838,1.49496,1.43245,0.70064,0.73083,0.78049,0.59093,0.9463,0.88743,1.43456,0.00872857,0.00872857,0.00872857
9,2476.46,0.99108,1.47918,1.42649,0.70824,0.71441,0.78457,0.58997,0.95577,0.87693,1.44268,0.0083622,0.0083622,0.0083622
10,2750.05,0.97842,1.46239,1.41846,0.71369,0.73377,0.79931,0.6016,0.94476,0.85556,1.42848,0.00795954,0.00795954,0.00795954
11,3025.29,0.9677,1.43889,1.41103,0.71634,0.72763,0.79894,0.60549,0.93326,0.8503,1.41981,0.007525,0.007525,0.007525
12,3299.46,0.95997,1.42223,1.40442,0.73226,0.72874,0.80071,0.60927,0.92417,0.83989,1.41198,0.00706335,0.00706335,0.00706335
13,3573.6,0.95077,1.41078,1.39881,0.73483,0.7314,0.8034,0.61422,0.92143,0.83781,1.40795,0.00657963,0.00657963,0.00657963
14,3845.9,0.94259,1.39455,1.39217,0.72736,0.74212,0.80603,0.61676,0.9196,0.8327,1.40588,0.00607916,0.00607916,0.00607916
15,4120.81,0.93463,1.37391,1.38671,0.74039,0.74074,0.81065,0.62145,0.91701,0.8293,1.40181,0.00556742,0.00556742,0.00556742
16,4394.47,0.92547,1.35879,1.38139,0.73537,0.75188,0.81317,0.62442,0.91431,0.82707,1.39926,0.00505,0.00505,0.00505
17,4668.57,0.91506,1.34209,1.37377,0.74532,0.74623,0.81485,0.62575,0.91221,0.82313,1.39668,0.00453258,0.00453258,0.00453258
18,4941.61,0.9087,1.32167,1.3691,0.74926,0.7418,0.81706,0.62851,0.91004,0.81784,1.39443,0.00402084,0.00402084,0.00402084
19,5218.88,0.90143,1.30731,1.36236,0.75785,0.73623,0.81853,0.63086,0.90711,0.8147,1.39127,0.00352037,0.00352037,0.00352037
20,5494.17,0.8858,1.2852,1.35264,0.76222,0.73303,0.81951,0.63203,0.90466,0.81146,1.38817,0.00303665,0.00303665,0.00303665
21,5709.41,0.80111,0.83039,1.40582,0.76592,0.7395,0.82176,0.63548,0.90017,0.80626,1.38362,0.002575,0.002575,0.002575
22,5921.24,0.77923,0.77918,1.38415,0.77283,0.73797,0.82533,0.63836,0.89541,0.79743,1.37852,0.00214046,0.00214046,0.00214046
23,6133.61,0.76246,0.74493,1.36744,0.77876,0.73855,0.82888,0.642,0.89045,0.78924,1.37271,0.0017378,0.0017378,0.0017378
24,6346.42,0.74999,0.71742,1.35459,0.77717,0.74741,0.83125,0.64499,0.88528,0.78047,1.36683,0.00137143,0.00137143,0.00137143
25,6559.8,0.73604,0.69079,1.34158,0.78278,0.74866,0.83434,0.64774,0.88067,0.77175,1.36091,0.00104537,0.00104537,0.00104537
26,6772.66,0.729,0.6668,1.33217,0.78724,0.74901,0.83763,0.65142,0.87589,0.76403,1.35523,0.000763174,0.000763174,0.000763174
27,6985.93,0.71774,0.64904,1.32236,0.79025,0.75301,0.84036,0.65351,0.87162,0.75647,1.35049,0.00052795,0.00052795,0.00052795
28,7198.89,0.71348,0.63201,1.31905,0.78803,0.76112,0.84242,0.65594,0.86738,0.74918,1.3452,0.00034227,0.00034227,0.00034227
29,7411.39,0.70618,0.6209,1.31153,0.78563,0.76586,0.84461,0.65927,0.86447,0.74149,1.34158,0.000208169,0.000208169,0.000208169
30,7623.86,0.70103,0.61509,1.308,0.77787,0.77097,0.84624,0.661,0.86177,0.73556,1.33873,0.000127117,0.000127117,0.000127117
